Product Family,Publisher,K–5,6–8,Algebra 1,Math 1,TK Product Available,Currently Selected by California Districts*,EdReports Review**,On Another State's Instructional Materials List***,Publisher on 2014 California State Adoption List,Illustrative Math Certified(C) or Derivative(D)
California Middle School Mathematics,Agile Mind Educational Holdings,N,Y,Y,Y,N,Y,Y,Y,Y,N
STEMscopes Math California,Accelerate Learning,Y,Y,N,N,N,Y,Y,Y,N,N
Math Nation California,Accelerate Learning,Y,Y,Y,N,N,Y,Y,Y,N,D
Amplify Desmos Math CA,Amplify Education,Y,Y,Y,Y,Y,Y,Under Review,Y,N,D
RoboBlocky Math,Barobo,Y,Y,Y,Y,N,N,N,N,N,N
California Math & YOU,Big Ideas Learning,Y,Y,Y,Y,N,N,Under Review,Y,Y,N
California ClearMath,Carnegie Learning,Y,Y,Y,Y,Y,Y,N,Y,N,N
MathLinks Core,Center for Mathematics and Teaching,N,Y,N,N,N,Y,Y,Y,Y,N
"Core Connections 3rd Ed.",CPM Educational Program,N,Y,N,N,N,N,Y,Y,Y,N
Inspiring Connections,CPM Educational Program,N,Y,N,N,N,Y,N,N,Y,N
Classroom Mathematics California,Curriculum Associates,Y,Y,Y,N,Y,Y,Y,Y,N,N
California EdGems Math,Ed Gems Math,N,Y,Y,N,N,Y,Y,Y,N,N
Eureka Math Squared California,Great Minds PBC,Y,Y,Y,N,Y,Y,Y,Y,N,N
California Math Expressions,Heinemann,Y,6 only,N,N,Y,N,N,Y,N,N
HMH Into Math California,HMH Education Company,Y,Y,Y,N,Y,Y,Y,Y,Y,N
Imagine IM California,Imagine Learning,Y,Y,Y,Y,Y,Y,Y,Y,N,C
Thinking Math!,Innovamat Education,Y,N,N,N,Y,N,N,N,N,N
Takeoff by IXL,IXL Learning,Y,N,N,N,N,N,Under Review,N,N,N
IMKH California,Kendall Hunt Publishing Company,Y,Y,Y,Y,Y,Y,Y,Y,N,C
Kiddom IM® v.360 California,Kiddom,Y,Y,Y,N,N,N,Y,Y,N,C
California Reveal Math,McGraw Hill,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
Core Curriculum by MidSchoolMath,MidSchoolMath,5 only,Y,N,N,N,Y,Y,Y,N,N
InsightMath California,MIND Education,Y,6 only,N,N,Y,N,Under Review,N,N,N
Open Up Resources - California Standards,Open Up Resources,Y,Y,Y,Y,N,Y,Y,Y,N,D
Paradigm,Paradigm Math,Y,Y,N,N,Y,N,N,N,N,N
Envision+ California Mathematics,Savvas Learning Company,Y,Y,Y,Y,Y,N,N,N,Y,N
Experience Math California,Savvas Learning Company,Y,Y,N,N,Y,N,Under Review,Y,Y,N
Bridges in Mathematics,The Math Learning Center,Y,N,N,N,Y,Y,Y,Y,N,N
Steam into Big Ideas Mathematics,TPS,Y,Y,Y,Y,N,N,N,N,Y,N
